"Message",Low,"Compilazione avviata."
"Message",Low,"Progetto ""Unnamed_1"" (destinazioni predefinite):"
"Message",Low,"Compilazione con la versione degli strumenti ""4.0""."
"Message",Low,"Destinazione ""PrintILCStartMessage"" nel file ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\ARM\ilc\IlcInternals.targets"" dal progetto ""c:\users\justin\documents\visual studio 2015\Projects\TempProject\TempProject\Unnamed_1"" (la destinazione ""Build"" dipende da essa):"
"Message",Low,"Verrà utilizzata l'attività ""IlcMessageTask"" dall'assembly ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\ARM\ilc\ilc.exe""."
"Message",Low,"Attività ""IlcMessageTask"""
"Message",High,"Avvio della compilazione .NET Native"
"Message",Low,"Esecuzione attività ""IlcMessageTask"" completata."
"Message",Low,"Compilazione destinazione ""PrintILCStartMessage"" nel progetto ""Unnamed_1"" completata."
"Message",Low,"Destinazione ""LogAppContextSwitches"" nel file ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\ARM\ilc\IlcInternals.targets"" dal progetto ""c:\users\justin\documents\visual studio 2015\Projects\TempProject\TempProject\Unnamed_1"" (la destinazione ""SetMainTargetPaths"" dipende da essa):"
"Message",Low,"Verrà utilizzata l'attività ""Message"" dall'assembly ""Microsoft.Build.Tasks.v4.0, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a""."
"Message",Low,"Attività ""Message"""
"Message",Normal,"AppContextSwitch: ''"
"Message",Low,"Esecuzione attività ""Message"" completata."
"Message",Low,"Compilazione destinazione ""LogAppContextSwitches"" nel progetto ""Unnamed_1"" completata."
"Message",Low,"Destinazione ""SetMainTargetPaths"" nel file ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\ARM\ilc\IlcInternals.targets"" dal progetto ""c:\users\justin\documents\visual studio 2015\Projects\TempProject\TempProject\Unnamed_1"" (la destinazione ""CopyNativeExecutablesToOutput"" dipende da essa):"
"Message",Low,"Compilazione destinazione ""SetMainTargetPaths"" nel progetto ""Unnamed_1"" completata."
"Message",Low,"Destinazione""GenerateFakeExe"" ignorata. Condizione false. (!Exists('@(InputILTarget)')) ha restituito (!Exists('c:\users\justin\documents\visual studio 2015\Projects\TempProject\TempProject\obj\ARM\Release\ilc\in\TempProject.exe'))."
"Message",Low,"Destinazione""InjectCoreLibTypeForwards"" ignorata. Condizione false. ('$(UseSharedAssembliesInTocMode)' != 'true') ha restituito ('true' != 'true')."
"Message",Low,"Destinazione""InjectCoreLibTypeForwards"" ignorata. Condizione false. ('$(UseSharedAssembliesInTocMode)' != 'true') ha restituito ('true' != 'true')."
"Message",Low,"Destinazione ""PreResolveTransforms"" nel file ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\ARM\ilc\IlcInternals.targets"" dal progetto ""c:\users\justin\documents\visual studio 2015\Projects\TempProject\TempProject\Unnamed_1"" (la destinazione ""RunILTransforms"" dipende da essa):"
"Message",Low,"Compilazione completa della destinazione ""PreResolveTransforms"" in corso."
"Message",Low,"Il file di output ""c:\users\justin\documents\visual studio 2015\Projects\TempProject\TempProject\obj\ARM\Release\ilc\intermediate\PreMergeILTransformed\TempProject.exe"" non esiste."
"Message",Low,"Verrà utilizzata l'attività ""MakeDir"" dall'assembly ""Microsoft.Build.Tasks.v4.0, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a""."
"Message",Low,"Attività ""MakeDir"""
"Message",Normal,"Creazione directory ""c:\users\justin\documents\visual studio 2015\Projects\TempProject\TempProject\obj\ARM\Release\ilc\intermediate\PreMergeILTransformed\""."
"Message",Low,"Esecuzione attività ""MakeDir"" completata."
"Message",Low,"Verrà utilizzata l'attività ""AssemblyClosureTask"" dall'assembly ""Microsoft.Build.ILTasks""."
"Message",Low,"Attività ""AssemblyClosureTask"""
"Message",Low,"Esecuzione attività ""AssemblyClosureTask"" completata."
"Message",Low,"Attività ""ILTransformTask"" ignorata. Condizione false. ('@(PreResolveTransforms)' != '') ha restituito ('' != '')."
"Message",Low,"Verrà utilizzata l'attività ""Copy"" dall'assembly ""Microsoft.Build.Tasks.v4.0, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a""."
"Message",Low,"Attività ""Copy"""
"Message",Normal,"Copia del file da ""c:\users\justin\documents\visual studio 2015\Projects\TempProject\TempProject\obj\ARM\Release\ilc\in\TempProject.pdb"" a ""c:\users\justin\documents\visual studio 2015\Projects\TempProject\TempProject\obj\ARM\Release\ilc\intermediate\PreMergeILTransformed\TempProject.pdb""."
"Message",Low,"Esecuzione attività ""Copy"" completata."
"Message",Low,"Attività ""Copy"""
"Message",Normal,"Copia del file da ""c:\users\justin\documents\visual studio 2015\Projects\TempProject\TempProject\obj\ARM\Release\ilc\in\TempProject.exe"" a ""c:\users\justin\documents\visual studio 2015\Projects\TempProject\TempProject\obj\ARM\Release\ilc\intermediate\PreMergeILTransformed\TempProject.exe""."
"Message",Low,"Esecuzione attività ""Copy"" completata."
"Message",Low,"Attività ""Copy"" ignorata. Condizione false. ('$(HasMcgPatchDlls)'=='true') ha restituito (''=='true')."
"Message",Low,"Compilazione destinazione ""PreResolveTransforms"" nel progetto ""Unnamed_1"" completata."
"Message",Low,"Destinazione ""InitInputResourceName"" nel file ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\ARM\ilc\IlcInternals.targets"" dal progetto ""c:\users\justin\documents\visual studio 2015\Projects\TempProject\TempProject\Unnamed_1"" (la destinazione ""RunILTransforms"" dipende da essa):"
"Message",Low,"Attività ""ResolveFilePathTask"" ignorata. Condizione false. ('$(InputPath)' != '' and Exists('$(InputPath)\obj\')) ha restituito ('c:\users\justin\documents\visual studio 2015\Projects\TempProject\TempProject\obj\ARM\Release\ilc\in' != '' and Exists('c:\users\justin\documents\visual studio 2015\Projects\TempProject\TempProject\obj\ARM\Release\ilc\in\obj\'))."
"Message",Low,"Verrà utilizzata l'attività ""ResolveFilePathTask"" dall'assembly ""Microsoft.Build.ILTasks""."
"Message",Low,"Attività ""ResolveFilePathTask"""
"Message",Low,"Esecuzione attività ""ResolveFilePathTask"" completata."
"Message",Low,"Compilazione destinazione ""InitInputResourceName"" nel progetto ""Unnamed_1"" completata."
